직업코드,직업명,직업분류,NCS능력단위명,NCS능력단위정의,NCS대분류,NCS중분류,NCS소분류,능력단위코드
K000001059,경영 지원 관리자,행정·경영·금융·보험 관리자　,숙박기획·개발,"관광숙박 사업 개발이란 신규 숙박시설 개관을 위하여 기업의 운영목적에따라 필요한 사업계획서 작성, 사업 타당성 검토, 개관 업무 준비를 수행하는 능력이다.",이용·숙박·여행·오락·스포츠,관광·레저,숙박서비스,1203020111
K000001059,경영 지원 관리자,행정·경영·금융·보험 관리자　,인사,인사기획이란 조직의 목표달성에 필요한 인적자원의 효율적 운영을 위하여 인사전략을 수립하고 인력과 인건비 운영에 대한 계획을 수립하는 능력이다.,경영·회계·사무,총무·인사,인사·조직,0202020101
K000001059,경영 지원 관리자,행정·경영·금융·보험 관리자　,인사,인사 아웃소싱이란 선정된 아웃소싱 대상 업무수행을 위하여 운영업체의제안 내용의 평가를 통해 계약을 체결하고 운영업체를 관리하는 능력이다.,경영·회계·사무,총무·인사,인사·조직,0202020113
K000007471,보험관리자,행정·경영·금융·보험 관리자　,재물손해사정,"선박보험 손해액 산정은 합리적인 보험금 사정을 위하여 피보험목적물 확인, 수리비 평가, 손해액을 평가하는 능력이다.",금융·보험,보험,손해사정,0302030112
K000007471,보험관리자,행정·경영·금융·보험 관리자　,위험관리,"위험처리는 손해보험 위험분석 결과를 이행하기 위하여 위험통제, 재무적위험관리, 개선권고사항을 관리하는 능력이다.",금융·보험,보험,보험영업·계약,0302020405
K000007471,보험관리자,행정·경영·금융·보험 관리자　,보험계약심사,"재정·도덕적 인수위험평가란 피보험 이익의 적정성 여부를 판단하기 위하여 재정·도덕적 심사정보 수집, 재정, 도덕적 심사위험 평가, 재정, 도덕적 가입조건 결정을 하는 능력이다.",금융·보험,보험,보험영업·계약,0302020204
K000001190,연구관리자,전문서비스 관리자,인공지능서비스기획,인공지능 서비스 시나리오 기획이란 인공지능 서비스 요소들의 기능적 상호작용에 대한 흐름을 체계화하고 타당성을 검증하여 시나리오를 확정하는 능력이다.,정보통신,정보기술,인공지능,2001070205
K000001190,연구관리자,전문서비스 관리자,인공지능플랫폼구축,"인공지능 플랫폼 품질 관리란 인공지능 플랫폼의 품질 목표를 달성하기위하여 품질 관리 계획을 수립하고, 수립된 계획에 따라 품질 보증 활동을수행, 통제하는 능력이다.",정보통신,정보기술,인공지능,2001070109
K000001190,연구관리자,전문서비스 관리자,인공지능서비스기획,"인공지능 서비스 환경 분석이란 서비스 모델과 관련된 기업의 내·외부 환경을 분석하고 데이터, 기술, 인력 관점에서 필요한 자원과 동향을 분석하는 능력이다.",정보통신,정보기술,인공지능,2001070201
K000000991,여행·숙박(호텔)관리자,미용·여행·숙박·음식·경비·청소 관리자,산업보건관리,"산업보건관리체제확립이란 산업보건에 관한 책임소재를 명확히 하고, 사업장의 자율안전보건관리 활동을 지속적으로 수행하기 위한 산업보건관리조직을 사업의 종류, 규모, 근로자수에 따라 적절하게 구성ㆍ운영하는 능력이다.",환경·에너지·안전,산업안전보건,산업보건관리,2306020102
K000000991,여행·숙박(호텔)관리자,미용·여행·숙박·음식·경비·청소 관리자,산업보건관리,"보건관리계획수립평가란 사업장의 보건관리 수준을 파악하고 효과적인 산업보건활동을 할 수 있도록 계획 수립 및 수행, 평가를 하는 능력이다.",환경·에너지·안전,산업안전보건,산업보건관리,2306020101
